수목명,봄,여름,가을,겨울
모과나무,1,0,1,1
매실나무,1,0,0,0
양버즘나무,0,1,0,1
단풍나무,0,0,1,0
목련,1,0,0,0
잣나무,0,1,0,1
오동나무,1,1,0,0
이팝나무,1,0,0,0
계수나무,0,1,1,0
버드나무,1,1,0,0
산딸나무,1,0,1,0
은행나무,0,1,1,0
소나무,0,1,0,1
피나무,0,1,0,0
사과나무,1,0,1,0
산수유,1,0,1,0
뽕나무,0,0,1,0
향나무,0,1,0,1
감나무,0,0,1,1
가죽나무,0,0,0,0
느티나무,0,1,1,1
벚나무,1,0,1,0
물푸레나무,0,0,1,0
모감주나무,0,1,1,0
메타세쿼이아,1,1,1,1
아까시나무,1,0,0,0
산사나무,1,0,1,0
가문비나무,0,0,0,1
칠엽수,1,1,1,0
측백나무,0,0,0,1
백합나무,1,0,1,0
배롱나무,0,1,0,1
팥배나무,1,0,1,0
때죽나무,1,0,0,0
살구나무,1,0,1,0
느릅나무,0,0,1,0
자두나무,1,0,0,0
화살나무,0,0,1,1
황벽나무,0,0,1,1
전나무,0,0,0,1
팽나무,0,1,0,1
참나무,0,1,1,0
사시나무,0,1,0,0
회화나무,0,1,0,1
왕벚나무,1,0,1,0
대추나무,0,0,1,0
중국단풍,0,0,1,0
밤나무,0,1,1,0
주목,0,0,1,1
자귀나무,0,1,0,0
스트로브잣나무,0,1,0,1
말채나무,0,0,0,1
복숭아나무,1,0,0,0
헛개나무,0,0,1,0
개잎갈나무,0,1,0,1